municipiosalfb,prediccionesmarzo
2001,10 
2002,9 
2004,101 
2005,8 
6007,24 
6009,6 
8017,8 
8019,26 
8037,85 
9005,18 
9007,12 
9010,5 
9012,8 
9015,7 
9017,6 
11002,6 
11007,40 
11017,30 
11020,35 
11027,26 
11037,5 
11042,4 
12001,20 
12029,12 
12038,7 
14039,18 
14097,10 
14098,22 
14101,4 
14120,12 
15031,4 
15033,21 
15057,11 
15058,10 
15104,8 
16053,23 
16102,15 
16108,26 
17007,14 
19039,19 
21114,4 
23005,7 
23008,1 
24028,11 
25006,31 
26018,27 
26030,21 
27004,14 
28032,11 
28041,12 
