  predictedround actualround,,
1,10,33
2,23,23
3,21,26
4,20,15
0.2527917,,
  predictedround actualround,,
1,9,10
2,8,5
3,7,7
4,8,8
0.1054227,,
  predictedround actualround,,
1,101,114
2,109,129
3,116,121
4,102,96
0.06782881,,
  predictedround actualround,,
1,8,10
2,9,20
3,10,15
4,9,8
0.23866,,
  predictedround actualround,,
1,24,26
2,20,20
3,26,28
4,27,27
0.04265345,,
  predictedround actualround,,
1,6,3
2,8,10
3,4,4
4,5,2
0.08588397,,
  predictedround actualround,,
1,8,7
2,5,8
3,6,9
4,7,9
0.1798971,,
  predictedround actualround,,
1,26,18
2,11,15
3,16,21
4,18,22
0.1384704,,
  predictedround actualround,,
1,85,108
2,102,114
3,90,76
4,102,104
0.1124643,,
  predictedround actualround,,
1,18,10
2,14,12
3,10,12
4,9,13
0.151468,,
  predictedround actualround,,
1,12,16
2,13,16
3,16,15
4,21,16
0.1097735,,
  predictedround actualround,,
1,5,3
2,5,5
3,4,4
4,4,4
0.05839217,,
  predictedround actualround,,
1,8,8
2,11,7
3,4,6
4,1,3
0.1480095,,
  predictedround actualround,,
1,7,6
2,8,8
3,7,7
4,1,4
0.07049553,,
  predictedround actualround,,
1,6,10
2,4,4
3,6,5
4,4,7
0.1666996,,
  predictedround actualround,,
1,6,4
2,6,6
3,2,7
4,10,8
0.1333995,,
  predictedround actualround,,
1,40,18
2,34,34
3,38,36
4,37,29
0.1968515,,
  predictedround actualround,,
1,30,28
2,31,27
3,29,37
4,41,33
0.1317144,,
  predictedround actualround,,
1,35,32
2,41,42
3,41,43
4,39,38
0.04033695,,
  predictedround actualround,,
1,26,22
2,21,26
3,26,27
4,26,21
0.09625547,,
  predictedround actualround,,
1,5,5
2,1,0
3,2,2
4,4,10
0.09261821,,
  predictedround actualround,,
1,4,2
2,4,7
3,4,4
4,4,1
0.1676985,,
  predictedround actualround,,
1,20,25
2,20,24
3,20,26
4,22,15
0.07960405,,
  predictedround actualround,,
1,12,13
2,7,9
3,10,6
4,8,5
0.1140232,,
  predictedround actualround,,
1,7,7
2,14,7
3,7,8
4,10,6
0.1896772,,
  predictedround actualround,,
1,18,23
2,21,33
3,17,18
4,19,17
0.1238955,,
  predictedround actualround,,
1,10,8
2,11,10
3,10,9
4,11,14
0.08861209,,
  predictedround actualround,,
1,22,21
2,23,19
3,23,17
4,14,13
0.09465734,,
  predictedround actualround,,
1,4,13
2,11,12
3,9,9
4,9,8
0.1458915,,
  predictedround actualround,,
1,12,11
2,9,7
3,10,10
4,10,14
0.08400515,,
  predictedround actualround,,
1,4,9
2,9,11
3,8,7
4,6,5
0.1872655,,
  predictedround actualround,,
1,21,23
2,19,17
3,19,20
4,15,15
0.04610335,,
  predictedround actualround,,
1,11,13
2,7,10
3,8,6
4,4,6
0.1545306,,
  predictedround actualround,,
1,10,8
2,14,8
3,8,6
4,7,7
0.1290723,,
  predictedround actualround,,
1,8,11
2,6,14
3,7,8
4,11,11
0.1615324,,
  predictedround actualround,,
1,23,20
2,6,12
3,10,16
4,14,14
0.1055735,,
  predictedround actualround,,
1,15,15
2,18,18
3,15,9
4,19,4
0.1789004,,
  predictedround actualround,,
1,26,36
2,22,32
3,23,27
4,22,25
0.188397,,
  predictedround actualround,,
1,14,15
2,6,9
3,15,7
4,8,5
0.2229985,,
  predictedround actualround,,
1,19,20
2,15,14
3,15,13
4,9,12
0.07284502,,
  predictedround actualround,,
1,4,5
2,5,4
3,3,6
4,6,8
0.1096199,,
  predictedround actualround,,
1,7,31
2,8,15
3,7,14
4,13,10
0.2123625,,
  predictedround actualround,,
1,1,6
2,6,4
3,1,2
4,7,6
0.1513633,,
  predictedround actualround,,
1,11,10
2,10,11
3,12,21
4,18,18
0.1383799,,
  predictedround actualround,,
1,31,34
2,25,25
3,32,27
4,30,37
0.05635187,,
  predictedround actualround,,
1,27,26
2,25,29
3,9,34
4,13,22
0.2113732,,
  predictedround actualround,,
1,21,18
2,10,9
3,16,9
4,12,11
0.1074874,,
  predictedround actualround,,
1,14,15
2,13,9
3,7,6
4,6,5
0.08634068,,
  predictedround actualround,,
1,11,4
2,13,5
3,13,14
4,13,9
0.2192814,,
  predictedround actualround,,
1,12,10
2,8,5
3,7,3
4,6,9
0.1046551,,
