V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2004,2003,2005,2001,0,0,0,0,0,0,0,0,0,0,0
8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25006,0,0,0,0,0,25018,0,0,0,0,0,0,0,0
14039,0,14101,14120,14124,14098,0,0,0,0,0,0,0,0,0
23005,23003,0,0,0,0,0,0,0,0,0,0,0,0,0
11017,0,0,0,0,11027,0,0,0,0,0,0,0,0,0
9007,0,0,0,9013,0,0,0,0,0,0,0,0,0,0
26018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14098,14039,14070,14101,14120,14097,0,0,0,0,0,0,0,0,0
15033,0,0,0,15020,0,15058,15081,0,15104,15109,0,0,0,0
11027,0,0,0,0,11017,0,0,0,0,0,0,0,0,0
16053,0,0,0,0,0,0,0,0,0,16066,0,0,0,0
14097,0,0,0,0,14070,0,14120,14098,0,0,0,0,0,0
6007,0,6004,0,0,0,0,0,0,0,0,0,0,0,0
14120,14005,14009,14039,14045,14071,14083,14094,14097,14098,0,0,0,0,0
2001,0,2003,2004,2005,0,0,0,0,0,0,0,0,0,0
16102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19039,0,19018,19019,19021,19026,19031,19046,0,0,0,0,0,0,0
9005,9002,9015,9017,0,0,0,0,0,0,0,0,0,0,0
28032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21114,21015,0,21041,0,21119,21140,0,0,0,0,29013,0,0,0
11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23008,23001,0,0,0,0,0,0,0,0,0,0,0,0,0
14101,14039,0,14070,0,14098,0,0,0,0,0,0,0,0,0
15058,0,0,0,0,15031,15033,15070,0,0,0,0,0,0,0
24028,0,0,0,0,24035,0,0,0,0,0,0,0,0,0
17007,0,17008,17009,17011,0,17018,17020,0,0,0,0,0,0,0
16108,0,0,0,16043,0,0,0,0,0,0,0,0,0,0
15057,0,0,15013,15037,0,15104,0,0,0,0,0,0,0,0
2005,2004,2001,0,0,0,0,0,0,0,0,0,0,0,0
12029,12001,12021,0,0,0,0,12061,0,0,0,0,0,0,0
15104,0,0,15013,15033,15057,15109,15121,0,0,0,0,0,0,0
6009,6001,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2003,2001,0,0,0,0,0,0,0,0,0,0,0,0
8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11037,0,11017,11020,11026,0,0,0,0,0,0,0,0,0,0
9010,9003,9004,9008,9012,9014,9016,0,0,0,0,0,0,0,0
11042,11001,0,11018,11024,11027,11046,0,0,0,0,0,0,0,0
12038,0,12022,12048,0,0,0,0,0,0,0,0,0,0,0
28041,0,28013,0,0,0,0,0,0,0,0,0,0,0,0
9015,9002,9005,9006,9014,9016,9017,0,0,0,0,0,0,0,0
11002,0,11028,0,11039,0,0,0,16110,0,0,0,0,0,0
9012,9003,9008,0,9010,0,0,0,0,0,0,0,0,0,0
9017,9005,9006,9015,15058,0,0,0,0,0,0,0,0,0,0
15031,0,15058,15070,15099,0,0,0,0,0,0,0,0,0,0
